DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,INVTYPE,INVAGE,INJURY,FATAL_NO,SPEEDING,REDLIGHT,ALCOHOL,HOOD_158,NEIGHBOURHOOD_158,DIVISION,row_num
2019-01-01,4:38:00,ST CLAIR AVE W,DUFFERIN ST,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Driver,unknown,None,None,None,None,None,92,Corso Italia-Davenport,D13,1
2019-01-01,4:38:00,ST CLAIR AVE W,DUFFERIN ST,Major Arterial,Etobicoke York,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian,30 to 34,Major,None,None,None,None,92,Corso Italia-Davenport,D13,2
2019-01-02,14:05:00,LEXINGTON AVE,SILVERSTONE DR,Local,Etobicoke York,Clear,Daylight,Dry,Fatal,Passenger,50 to 54,Fatal,9,None,Yes,None,1,West Humber-Clairville,D23,1
2019-01-02,14:05:00,LEXINGTON AVE,SILVERSTONE DR,Local,Etobicoke York,Clear,Daylight,Dry,Fatal,Driver,unknown,None,None,None,Yes,None,1,West Humber-Clairville,D23,2
2019-01-04,13:25:00,BATHURST ST,BAINBRIDGE AVE,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Driver,35 to 39,None,None,None,Yes,None,38,Lansing-Westgate,D32,1
2019-01-04,13:25:00,BATHURST ST,BAINBRIDGE AVE,Major Arterial,North York,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian,30 to 34,Major,None,None,Yes,None,38,Lansing-Westgate,D32,2
2019-01-04,19:20:00,COLLEGE ST,ELIZABETH ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Driver,45 to 49,None,None,None,Yes,None,170,Yonge-Bay Corridor,D52,1
2019-01-04,19:20:00,COLLEGE ST,ELIZABETH ST,Major Arterial,Toronto and East York,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian,60 to 64,Major,None,None,Yes,None,170,Yonge-Bay Corridor,D52,2
2019-01-07,20:12:00,CLOSE  AVE,QUEEN  ST W,Local,Toronto and East York,Rain,"Dark, artificial",Wet,Fatal,Driver,65 to 69,None,None,Yes,Yes,None,85,South Parkdale,D14,1
2019-01-07,20:12:00,CLOSE  AVE,QUEEN  ST W,Local,Toronto and East York,Rain,"Dark, artificial",Wet,Fatal,Wheelchair,60 to 64,Fatal,1,Yes,Yes,None,85,South Parkdale,D14,2
2019-01-08,18:38:00,O CONNOR DR,ST CLAIR AVE E,Major Arterial,Toronto and East York,Rain,"Dark, artificial",Wet,Fatal,Pedestrian,65 to 69,Fatal,4,None,None,None,54,O'Connor-Parkview,D55,1
2019-01-08,18:38:00,O CONNOR DR,ST CLAIR AVE E,Major Arterial,Toronto and East York,Rain,"Dark, artificial",Wet,Fatal,Driver,55 to 59,None,None,None,None,None,54,O'Connor-Parkview,D55,2
