Neighbourhood,Hood_ID,Bachelor,Type1,One_Bed,Type2,Two_Bed,Type3,Three_Bed,Type32,Avg_Rent
West Humber-Clairville,1,1409,a,1944,a,2301,a,0,a,1884.666667
Mount Olive-Silverstone-Jamestown,2,1158,a,1714,a,1889,a,2074,a,1708.75
Thristletown,3,1158,a,1714,a,1889,a,2074,a,1708.75
Rexdale-Kipling,4,0,a,1305,a,1491,a,1484,a,1426.666667
Elms-Old Rexdale,5,0,a,1693,a,1897,a,0,a,1795
Kingsview Village-The Westway,6,0,a,1647,a,1820,a,2012,a,1826.333333
Willowridge-Martingrove-Richview,7,0,a,1633,a,2181,a,2357,a,2057
Humber Heights-Westmount,8,0,a,1913,a,2197,a,0,a,2197
Edenbridge-Humber Valley,9,0,a,2194,a,2784,a,3077,a,2685
Princess-Rosethorn,10,0,a,2445,a,3219,a,3550,a,3071.333333
Eringate-Centennial-West Deane,11,0,a,2445,a,3219,a,3550,a,3071.333333
Markland Wood,12,0,a,2445,a,3219,a,3550,a,3071.333333
Etobicoke West Mall,13,1494,a,1625,a,1899,a,2178,a,1799
Kingsway South,15,1310,a,1636,a,1693,a,0,a,1546.333333
Stonegate-Queensway,16,1310,a,1636,a,1693,a,0,a,1546.333333
New Toronto,18,0,a,1302,a,1756,a,0,a,1529
Long Branch,19,0,a,1467,a,0,a,0,a,1467
Alderwood,20,0,a,1467,a,0,a,0,a,1467
Humber Summit,21,1380,a,1461,a,1850,a,1856,a,1636.75
Humbermede,22,0,a,1583,a,1898,a,2189,a,1890
Pelmo Park/Humberlea,23,0,a,1583,a,1898,a,2189,a,1890
Black Creek,24,1380,a,1461,a,1850,a,1856,a,1636.75
Glenfield/Jane Heights,25,1380,a,1461,a,1850,a,1856,a,1636.75
York University Heights,27,0,a,1583,a,1898,a,2189,a,1890
Rustic,28,0,a,1583,a,1898,a,2189,a,1890
Maple Leaf,29,0,a,1455,a,1722,a,2003,a,1726.666667
Brookhaven-Amesbury,30,0,a,1455,a,1722,a,2003,a,1726.666667
Yorkdale-Glen Park,31,0,a,1387,a,1434,a,0,a,1410.5
Englemount-Lawrence,32,1370,a,1606,a,1680,a,0,a,1552
Clanton Park,33,0,a,1401,a,0,a,0,a,1401
Bathurst Manor,34,0,a,1439,a,1591,a,1850,a,1626.666667
Westminster-Branson,35,1696,a,1746,a,2161,a,2322,a,1981.25
Newtonbrook West,36,0,a,1641,a,1930,a,2118,a,1896.333333
Willowdale West,37,0,a,1730,a,2225,a,2513,a,2156
Lansing-Westgate,38,0,a,1730,a,2225,a,2513,a,2156
Bedford Park-Nortown,39,1270,a,1539,a,1992,a,0,a,1600.333333
St. Andrew-Windfields,40,1135,a,1636,a,1948,a,2368,a,1771.75
Bridle Path/Sunnybrook/York Mills,41,0,a,1720,a,2038,a,2383,a,2047
